iter	RMSE
0	74726.14887
1	72451.12344
2	70260.90915
3	68349.07469
4	66407.16558
5	64485.57356
6	62651.00562
7	60931.80082
8	59142.67058
9	57506.13709
10	56070.81192
11	54509.99126
12	53228.4047
13	51849.3551
14	50502.44856
15	49152.13621
16	48066.62048
17	46929.42454
18	45964.94653
19	45091.27461
20	44242.78588
21	43307.64235
22	42488.1835
23	41680.40009
24	40926.10722
25	40186.4082
26	39480.63273
27	38780.28724
28	38124.76963
29	37457.25084
30	36877.01996
31	36333.70494
32	35757.59273
33	35160.10222
34	34681.35133
35	34110.77701
36	33621.16766
37	33161.51253
38	32756.87802
39	32354.36476
40	31938.7622
41	31504.0503
42	31119.17072
43	30738.19359
44	30333.93433
45	30015.02297
46	29719.64129
47	29378.13987
48	29034.44693
49	28696.63178
50	28346.59796
51	28068.4663
52	27749.5642
53	27417.4983
54	27129.24294
55	26843.26136
56	26689.43314
57	26472.09696
58	26268.00877
59	26071.48219
60	25895.20859
61	25682.93256
62	25500.76326
63	25290.74566
64	25070.00247
65	24870.06354
66	24683.30569
67	24503.9142
68	24312.36891
69	24127.3027
70	23981.5408
71	23805.57915
72	23625.82909
73	23483.13587
74	23450.64364
75	23272.4129
76	23149.54152
77	23046.22751
78	22888.0324
79	22743.58442
80	22624.53889
81	22511.33464
82	22402.35041
83	22336.00605
84	22215.03167
85	22079.7341
86	21942.17093
87	21814.79401
88	21676.61364
89	21633.28006
90	21527.20891
91	21392.84307
92	21305.96117
93	21236.1414
94	21097.41534
95	21020.94003
96	20904.75927
97	20798.18579
98	20695.26326
99	20577.18685
100	20479.16565
101	20379.94966
102	20300.30978
103	20226.28889
104	20126.6096
105	20023.23201
106	19947.87534
107	19809.33313
108	19709.20541
109	19616.54203
110	19511.96391
111	19476.98833
112	19399.65737
113	19288.82766
114	19207.63061
115	19135.08839
116	19059.87717
117	18981.49511
118	18910.90072
119	18830.86868
120	18769.05072
121	18675.27592
122	18613.37765
123	18572.00617
124	18517.94177
125	18448.79214
126	18377.39814
127	18311.70204
128	18230.7615
129	18175.12028
130	18116.55289
131	18070.49497
132	18042.90937
133	18012.54107
134	17965.15159
135	17903.32339
136	17874.1435
137	17791.41748
138	17729.37653
139	17663.0161
140	17595.991
141	17535.42497
142	17509.07184
143	17435.64693
144	17387.6652
145	17352.8773
146	17325.20331
147	17264.16773
148	17244.56044
149	17182.44804
150	17163.66759
151	17098.29552
152	17082.5465
153	17033.45268
154	16984.03814
155	16954.11411
156	16934.8468
157	16883.77013
158	16839.94152
159	16787.97652
160	16744.01898
161	16708.19879
162	16649.46659
163	16598.22819
164	16576.02879
165	16555.49118
166	16522.76012
167	16507.33374
168	16450.95034
169	16389.65088
170	16332.22398
171	16294.21398
172	16247.16034
173	16213.7004
174	16201.52082
175	16153.13849
176	16104.54982
177	16050.11295
178	16005.07619
179	15994.68049
180	15959.19776
181	15949.70916
182	15903.34099
183	15896.00995
184	15883.92713
185	15871.10132
186	15859.98681
187	15807.50849
188	15751.6745
189	15700.22868
190	15689.45038
191	15641.24294
192	15592.53152
193	15545.89079
194	15489.72424
195	15428.09498
196	15404.92214
197	15350.62914
198	15309.76698
199	15286.81735
200	15245.12842
201	15213.73657
202	15177.13985
203	15155.77754
204	15118.8196
205	15077.40732
206	15041.39291
207	14997.91823
208	14963.85269
209	14940.30892
210	14901.0224
211	14891.79902
212	14872.42104
213	14838.51363
214	14808.56196
215	14774.38299
216	14708.47743
217	14671.00522
218	14633.33035
219	14613.58467
220	14563.55962
221	14548.71803
222	14505.43738
223	14480.044
224	14455.31457
225	14419.10282
226	14383.23575
227	14359.20917
228	14319.16465
229	14282.41174
230	14268.43943
231	14251.83951
232	14221.89928
233	14185.80187
234	14153.00284
235	14145.97855
236	14102.05518
237	14068.65151
238	14028.03629
239	13992.62622
240	13962.46752
241	13926.75115
242	13885.562
243	13879.27342
244	13863.28049
245	13818.21466
246	13790.63904
247	13750.57007
248	13714.05913
249	13678.54576
250	13631.93927
251	13627.08543
252	13587.76755
253	13564.03608
254	13521.30757
255	13484.54952
256	13465.43097
257	13459.94729
258	13430.68659
259	13417.35294
260	13388.18964
261	13355.60307
262	13319.09568
263	13292.83521
