iter	Passed	Remaining
0	2	1107
1	3	882
2	4	799
3	6	756
4	7	730
5	8	728
6	10	714
7	11	703
8	12	696
9	14	691
10	15	683
11	16	678
12	17	674
13	19	667
14	20	661
15	21	657
16	23	655
17	24	654
18	25	653
19	27	649
20	28	643
21	29	641
22	30	638
23	32	636
24	33	634
25	34	630
26	35	628
27	37	624
28	38	623
29	39	622
30	41	620
31	42	628
32	44	625
33	45	624
34	46	622
35	48	619
36	49	616
37	50	613
38	51	611
39	53	609
40	54	607
41	55	606
42	56	604
43	58	602
44	59	599
45	60	597
46	61	594
47	63	593
48	64	591
49	65	590
50	66	588
51	68	586
52	69	584
53	70	582
54	71	580
55	73	579
56	74	578
57	75	577
58	76	575
59	78	573
60	79	572
61	80	571
62	82	569
63	83	568
64	84	567
65	86	565
66	87	564
67	88	563
68	89	560
69	91	559
70	92	558
71	93	556
72	94	555
73	96	554
74	97	551
75	98	550
76	99	548
77	100	545
78	102	544
79	103	542
80	104	541
81	106	541
82	107	539
83	108	538
84	110	537
85	111	535
86	112	534
87	113	533
88	115	532
89	116	530
90	117	529
91	118	527
92	120	526
93	121	524
94	122	522
95	123	521
96	125	520
97	126	519
98	127	517
99	129	516
100	130	515
101	131	514
102	133	512
103	134	511
104	135	509
105	136	508
106	138	507
107	139	505
108	140	503
109	141	501
110	142	500
111	144	499
112	145	498
113	146	496
114	148	495
115	149	494
116	150	492
117	151	491
118	153	490
119	154	489
120	155	487
121	157	486
122	158	485
123	159	484
124	160	482
125	162	481
126	163	480
127	164	479
128	166	477
129	167	476
130	168	475
131	169	473
132	171	472
133	172	471
134	173	469
135	175	468
136	176	467
137	177	465
138	178	464
139	179	462
140	181	461
141	182	460
142	183	458
143	185	457
144	186	456
145	187	454
146	188	453
147	190	452
148	191	450
149	192	449
150	193	447
151	195	446
152	196	445
153	197	443
154	198	442
155	200	441
156	200	438
157	202	437
158	203	435
159	204	434
160	206	433
161	207	432
162	208	431
163	209	430
164	211	428
165	212	427
166	213	426
167	214	424
168	216	423
169	217	422
170	218	420
171	220	419
172	221	418
173	222	416
174	223	415
175	224	414
176	226	412
177	227	411
178	228	410
179	229	408
180	231	407
181	232	405
182	233	404
183	234	403
184	236	402
185	237	400
186	238	398
187	239	397
188	240	396
189	242	395
190	243	393
191	244	392
192	245	391
193	247	389
194	248	388
195	249	387
196	250	386
197	252	384
198	253	383
199	254	382
200	256	381
201	257	379
202	258	378
203	259	377
204	261	375
205	262	374
206	263	373
207	265	372
208	266	370
209	267	369
210	268	368
211	270	366
212	271	365
213	272	364
214	273	362
215	275	361
216	276	360
217	277	359
218	278	357
219	280	356
220	281	355
221	282	353
222	284	352
223	285	351
224	286	350
225	287	348
226	289	347
227	290	346
228	292	345
229	293	344
230	294	343
231	296	341
232	297	340
233	298	339
234	300	338
235	301	336
236	302	335
237	303	334
238	305	333
239	306	331
240	307	330
241	308	329
242	310	328
243	311	326
244	312	325
245	314	324
246	315	323
247	317	322
248	318	321
249	319	319
250	321	318
251	322	317
252	323	315
253	324	314
254	326	313
255	327	312
256	328	310
257	330	309
258	331	308
259	332	307
260	334	306
261	336	305
262	338	304
263	339	303
264	340	302
265	342	301
266	343	299
267	344	298
268	346	297
269	347	296
270	349	294
271	350	293
272	351	292
273	353	291
274	354	290
275	355	288
276	357	287
277	358	286
278	359	285
279	361	283
280	362	282
281	363	281
282	364	279
283	366	278
284	367	277
285	368	275
